[05:18:27] [INFO] received Windows console close event; shutting log-core down
[06:01:35] [INFO] received Windows console close event; shutting log-core down
[06:07:19] [INFO] received Windows console close event; shutting log-core down
[06:19:16] [INFO] received Windows console close event; shutting log-core down
[06:50:46] [INFO] received Windows console close event; shutting log-core down
[07:16:36] [INFO] received Windows console close event; shutting log-core down
[07:40:46] [INFO] received Windows console close event; shutting log-core down
[08:10:55] [INFO] received Windows console close event; shutting log-core down
[10:20:47] [INFO] received Windows console close event; shutting log-core down
[10:39:17] [INFO] received Windows console close event; shutting log-core down
[10:44:14] [INFO] received Windows console close event; shutting log-core down
[10:45:27] [INFO] received Windows console close event; shutting log-core down
[11:05:29] [INFO] received Windows console close event; shutting log-core down
[11:55:06] [INFO] received Windows console close event; shutting log-core down
[14:54:45] [INFO] received Windows console close event; shutting log-core down
[02:41:22] [INFO] received Windows console close event; shutting log-core down
[02:50:24] [INFO] received Windows console close event; shutting log-core down
[03:07:28] [INFO] received Windows console close event; shutting log-core down
[06:38:43] [INFO] received Windows console close event; shutting log-core down
[06:42:04] [INFO] received Windows console close event; shutting log-core down
[07:31:49] [INFO] received Windows console close event; shutting log-core down
[15:01:11] [INFO] received Windows console close event; shutting log-core down
[23:54:59] [INFO] received Windows console close event; shutting log-core down
[06:22:17] [INFO] received Windows console close event; shutting log-core down
[07:37:10] [INFO] received Windows console close event; shutting log-core down
[07:50:23] [INFO] received Windows console close event; shutting log-core down
[12:30:42] [INFO] received Windows console close event; shutting log-core down
[12:36:34] [INFO] received Windows console close event; shutting log-core down
[13:33:21] [INFO] received Windows console close event; shutting log-core down
[09:08:51] [INFO] received Windows console close event; shutting log-core down
[09:17:22] [INFO] received Windows console close event; shutting log-core down
[09:18:08] [INFO] received Windows console close event; shutting log-core down
[10:48:35] [INFO] received Windows console close event; shutting log-core down
[11:56:41] [INFO] received Windows console close event; shutting log-core down
[12:17:32] [INFO] received Windows console close event; shutting log-core down
[12:37:43] [INFO] received Windows console close event; shutting log-core down
[02:52:18] [INFO] received Windows console close event; shutting log-core down
[03:04:38] [INFO] received Windows console close event; shutting log-core down
[03:13:34] [INFO] received Windows console close event; shutting log-core down
[03:37:22] [INFO] received Windows console close event; shutting log-core down
[04:25:28] [INFO] received Windows console close event; shutting log-core down
[04:34:08] [INFO] received Windows console close event; shutting log-core down
[04:40:14] [INFO] received Windows console close event; shutting log-core down
[04:44:53] [INFO] received Windows console close event; shutting log-core down
[04:55:47] [INFO] received Windows console close event; shutting log-core down
[04:58:18] [INFO] received Windows console close event; shutting log-core down
[05:20:07] [INFO] received Windows console close event; shutting log-core down
[05:57:10] [INFO] received Windows console close event; shutting log-core down
